id,text,type,amount,currency,category,description,date_rule,ambiguity,source
E001,Gasté ocho mil en almuerzo,expense,8000,COP,Alimentación,Almuerzo,today,none,synthetic_seed
E002,Pagué setenta y cinco mil por el desayuno,expense,75000,COP,Alimentación,Desayuno,today,none,synthetic_seed
E003,Compré mercado por dos millones quinientos mil,expense,2500000,COP,Alimentación,Mercado,today,none,synthetic_seed
E004,Compré gasolina por cincuenta mil,expense,50000,COP,Transporte,Gasolina,today,none,synthetic_seed
E005,Pagué un millón de taxi,expense,1000000,COP,Transporte,Taxi,today,none,synthetic_seed
E006,Me cobraron cuarenta mil del bus,expense,40000,COP,Transporte,Bus,today,none,synthetic_seed
E007,Pagué ochocientos mil en medicamentos,expense,800000,COP,Salud,Medicamentos,today,none,synthetic_seed
E008,Gasté veintiocho mil quinientos en una consulta médica con la tarjeta,expense,28500,COP,Salud,Consulta médica,today,none,synthetic_seed
E009,Pagué trescientos cincuenta mil de matrícula con la tarjeta,expense,350000,COP,Educación,Matrícula,today,none,synthetic_seed
E010,Compré libros por veinticinco mil con la tarjeta,expense,25000,COP,Educación,Libros,today,none,synthetic_seed
E011,Pagué el arriendo por ciento cincuenta mil con la tarjeta,expense,150000,COP,Vivienda,Arriendo,today,none,synthetic_seed
E012,Pagué dieciocho mil de energía con la tarjeta,expense,18000,COP,Servicios,Energía,today,none,synthetic_seed
E013,La factura de internet costó ciento veinte mil con la tarjeta,expense,120000,COP,Servicios,Internet,today,none,synthetic_seed
E014,Gasté doce mil en cine con la tarjeta,expense,12000,COP,Entretenimiento,Cine,today,none,synthetic_seed
E015,Compré ropa por noventa mil en efectivo,expense,90000,COP,Compras,Ropa,today,none,synthetic_seed
E016,Pagué ocho mil en el veterinario en efectivo,expense,8000,COP,Mascotas,Veterinario,today,none,synthetic_seed
E017,Gasté setenta y cinco mil en el hotel en efectivo,expense,75000,COP,Viajes,Hotel,today,none,synthetic_seed
E018,Pagué dos millones quinientos mil por un regalo en efectivo,expense,2500000,COP,Otros,Regalo,today,none,synthetic_seed
E019,Gasté cincuenta mil en almuerzo en efectivo hoy,expense,50000,COP,Alimentación,Almuerzo,today,none,synthetic_seed
E020,Pagué un millón por el desayuno en efectivo hoy,expense,1000000,COP,Alimentación,Desayuno,today,none,synthetic_seed
E021,Compré mercado por cuarenta mil en efectivo hoy,expense,40000,COP,Alimentación,Mercado,today,none,synthetic_seed
E022,Compré gasolina por ochocientos mil desde mi cuenta hoy,expense,800000,COP,Transporte,Gasolina,today,none,synthetic_seed
E023,Pagué veintiocho mil quinientos de taxi desde mi cuenta hoy,expense,28500,COP,Transporte,Taxi,today,none,synthetic_seed
E024,Me cobraron trescientos cincuenta mil del bus desde mi cuenta hoy,expense,350000,COP,Transporte,Bus,today,none,synthetic_seed
E025,Pagué veinticinco mil en medicamentos desde mi cuenta hoy,expense,25000,COP,Salud,Medicamentos,today,none,synthetic_seed
E026,Gasté ciento cincuenta mil en una consulta médica desde mi cuenta hoy,expense,150000,COP,Salud,Consulta médica,today,none,synthetic_seed
E027,Pagué dieciocho mil de matrícula desde mi cuenta hoy,expense,18000,COP,Educación,Matrícula,today,none,synthetic_seed
E028,Compré libros por ciento veinte mil desde mi cuenta hoy,expense,120000,COP,Educación,Libros,today,none,synthetic_seed
E029,Pagué el arriendo por doce mil para este mes hoy,expense,12000,COP,Vivienda,Arriendo,today,none,synthetic_seed
E030,Pagué noventa mil de energía para este mes hoy,expense,90000,COP,Servicios,Energía,today,none,synthetic_seed
E031,La factura de internet costó ocho mil para este mes hoy,expense,8000,COP,Servicios,Internet,today,none,synthetic_seed
E032,Gasté setenta y cinco mil en cine para este mes hoy,expense,75000,COP,Entretenimiento,Cine,today,none,synthetic_seed
E033,Compré ropa por dos millones quinientos mil para este mes hoy,expense,2500000,COP,Compras,Ropa,today,none,synthetic_seed
E034,Pagué cincuenta mil en el veterinario para este mes hoy,expense,50000,COP,Mascotas,Veterinario,today,none,synthetic_seed
E035,Gasté un millón en el hotel para este mes hoy,expense,1000000,COP,Viajes,Hotel,today,none,synthetic_seed
E036,Pagué cuarenta mil por un regalo esta semana hoy,expense,40000,COP,Otros,Regalo,today,none,synthetic_seed
E037,Gasté ochocientos mil en almuerzo esta semana ayer,expense,800000,COP,Alimentación,Almuerzo,yesterday,none,synthetic_seed
E038,Pagué veintiocho mil quinientos por el desayuno esta semana ayer,expense,28500,COP,Alimentación,Desayuno,yesterday,none,synthetic_seed
E039,Compré mercado por trescientos cincuenta mil esta semana ayer,expense,350000,COP,Alimentación,Mercado,yesterday,none,synthetic_seed
E040,Compré gasolina por veinticinco mil esta semana ayer,expense,25000,COP,Transporte,Gasolina,yesterday,none,synthetic_seed
E041,Pagué ciento cincuenta mil de taxi esta semana ayer,expense,150000,COP,Transporte,Taxi,yesterday,none,synthetic_seed
E042,Me cobraron dieciocho mil del bus esta semana ayer,expense,18000,COP,Transporte,Bus,yesterday,none,synthetic_seed
E043,Pagué ciento veinte mil en medicamentos en el centro ayer,expense,120000,COP,Salud,Medicamentos,yesterday,none,synthetic_seed
E044,Gasté doce mil en una consulta médica en el centro ayer,expense,12000,COP,Salud,Consulta médica,yesterday,none,synthetic_seed
E045,Pagué noventa mil de matrícula en el centro ayer,expense,90000,COP,Educación,Matrícula,yesterday,none,synthetic_seed
E046,Compré libros por ocho mil en el centro ayer,expense,8000,COP,Educación,Libros,yesterday,none,synthetic_seed
E047,Pagué el arriendo por setenta y cinco mil en el centro ayer,expense,75000,COP,Vivienda,Arriendo,yesterday,none,synthetic_seed
E048,Pagué dos millones quinientos mil de energía en el centro ayer,expense,2500000,COP,Servicios,Energía,yesterday,none,synthetic_seed
E049,La factura de internet costó cincuenta mil en el centro ayer,expense,50000,COP,Servicios,Internet,yesterday,none,synthetic_seed
E050,Gasté un millón en cine antes de llegar a casa ayer,expense,1000000,COP,Entretenimiento,Cine,yesterday,none,synthetic_seed
E051,Compré ropa por cuarenta mil antes de llegar a casa ayer,expense,40000,COP,Compras,Ropa,yesterday,none,synthetic_seed
E052,Pagué ochocientos mil en el veterinario antes de llegar a casa ayer,expense,800000,COP,Mascotas,Veterinario,yesterday,none,synthetic_seed
E053,Gasté veintiocho mil quinientos en el hotel antes de llegar a casa ayer,expense,28500,COP,Viajes,Hotel,yesterday,none,synthetic_seed
E054,Pagué trescientos cincuenta mil por un regalo antes de llegar a casa ayer,expense,350000,COP,Otros,Regalo,yesterday,none,synthetic_seed
E055,Gasté veinticinco mil en almuerzo antes de llegar a casa esta mañana,expense,25000,COP,Alimentación,Almuerzo,today_morning,none,synthetic_seed
E056,Pagué ciento cincuenta mil por el desayuno antes de llegar a casa esta mañana,expense,150000,COP,Alimentación,Desayuno,today_morning,none,synthetic_seed
